artist,song,album,year,president,approvalrate,meanincome,povertyrate,blackmurderrate,Trump,Obama
A Tribe Called Quest,Conrad Tokyo,We got it from Here... Thank You 4 Your service,2016,Obama,51.7,"37,247",22.0,24.3, politicians politiccnn shit gwaan yo move fuckerytrump snl hilaritytroublesome times kid times come,toleration devastation got hunger sinevery nation obama nation let coroner incrooked faces red blue 
DJ Shadow,Nobody Speak,The Mountain Will Fall,2016,Obama,51.7,"37,247",22.0,24.3,est flamethrow function funyunsflame crew quicker trump fucks youngestnow face flame fuckers fame fa,
YG,FDT (Fuck Donald Trump),Still Brazy,2016,Obama,51.7,"37,247",22.0,24.3, school cant even go school conferencefuck donald trumpfuck donald trumpyeah nigga fuck donald trump, gon crash usno cant slave himhe got appreciating obama way morehey donald everyone followsyou gave 
Isaiah Rashad,Wat's Wrong,The Sun's Tirade,2016,Obama,51.7,"37,247",22.0,24.3,e i around ever since reagan criticizedmight stay trump tower one weekspray paint walls smoke weedfu,
Gazapizm,Zanı,Bir Gün Her Şey,2016,Obama,51.7,"37,247",22.0,24.3,, hands up otobanda haze yakbir gün gelecek barack obamadan lanet yağacakve suratına kezzappsikolojim
RiFF RAFF,Fuck Em All,Balloween,2016,Obama,51.7,"37,247",22.0,24.3,,haters i stay away dramai might ball 8 years like obamai might sing hooks madonna1999 i swimming pir
Juicy J,Feeling Like Obama,Must Be Nice,2016,Obama,51.7,"37,247",22.0,24.3,,
IamSu!,Game Time,Kilt 3,2016,Obama,51.7,"37,247",22.0,24.3,,ts game timesix speed im driverel presidente suzy obamawhy acting like thug onewhy say got guns neve
Snow Tha Product,Despierta,Despierta - Single,2016,Obama,51.7,"37,247",22.0,24.3,,e se va unir aunque les recenlos latinos metieron obama en esta silla deportó más que todos los pres
Astronautalis,SIKE!,Cut The Body Loose,2016,Obama,51.7,"37,247",22.0,24.3,,rve one usstay waiting dad come save day dogvoted obama expect changeis one big party giving giftssi
Common,The Day Women Took Over,Black America Again,2016,Obama,51.7,"37,247",22.0,24.3,,get medals courageous soldierson dollars michelle obama oprah rosathe mayor shah liz dozierhoods fee
Royce da 5'9'',Pray,Layers,2016,Obama,51.7,"37,247",22.0,24.3,,e wake deathwhile i pray violence shootinisis got obama sittin vladimir putina saw child online ask 
Kool Savas,Essahdamus,Essahdamus,2016,Obama,51.7,"37,247",22.0,24.3,,nnihr macht gute miene zum bösen spiel wie barack obamaihre rapform skatporn  scheiße verkauft siche
Migos,Coppers and Robbers,3 Way EP,2016,Obama,51.7,"37,247",22.0,24.3,,nigga like im curtis snowbut move like im barrack obamai know couple i see couple robbin nigga lets 
Kid Red,Bounce,Guilty By Asscoiation,2016,Obama,51.7,"37,247",22.0,24.3,,ow im stonerpresidential smoking california smell obama aromai aint worried bout nothing got 45 hols
M.I.A.,Visa,AIM,2016,Obama,51.7,"37,247",22.0,24.3,,labola bola got friend called boomaand looks like obama burnerturtleneck bomberits bamboo bangaand k
ANOHNI,Obama,HOPELESSNESS,2016,Obama,51.7,"37,247",22.0,24.3,,ose tell truthdo recognize yellow staring back youobamaobamaobamaall hope drained facelike children 
Niska,Mustapha Jefferson,Zifukoro,2016,Obama,51.7,"37,247",22.0,24.3,, gâté le coinmustapha jefferson mustapha jeffersonobama en personne obama en personneappelle paris h
Future,Program,EVOL,2016,Obama,51.7,"37,247",22.0,24.3,,lowed bagwhats programi went shoppingwhats programobama linewhats programyou know i give damnwhats p
Chance the Rapper,Mixtape,Coloring Book,2016,Obama,51.7,"37,247",22.0,24.3,,bitch wanna know lips tastebad little mama gettin obamashe sting like bumble bee hot saunashe shine 
Drake,Summer Sixteen,Single (artist: drake),2016,Obama,51.7,"37,247",22.0,24.3,,hingall repping one thinglooking revengeto dotell obama  s like whips inthey bulletproofminus twenty
Young Thug,Constantly Hating,Barter 6,2015,Obama,46.3,"36,105",24.1,26.8,ityeah thumbs upive seen holes golf course donald trumps coursemy bitch tall blooded horse nigga bro,
Rae Sremmurd,Up Like Trump,SremmLife,2015,Obama,46.3,"36,105",24.1,26.8,,
Uncle Murda,Rap Up 2015,Rap Up Series,2015,Obama,46.3,"36,105",24.1,26.8, top spotdj self love  hip hop with cardi bdonald trump making racist remarkssalute farrakhan millio,
Uncle Murda,Rap Up 2016,Rap Up Series,2015,Obama,46.3,"36,105",24.1,26.8,ople trust youbush like black people think donald trump dodont meet donald trump talk us yeyou aint ,w long yall thought president gon black forbarack obama thingbut another puppet government stringim 
Rick Ross,She Wanna Fuck,Black Dollar,2015,Obama,46.3,"36,105",24.1,26.8, handle brunchbel air bottles like boss penthouse trumprollin dice stacks bet i hit triplei really n,
Freddie Gibbs,10 Times,Shadow of a Doubt,2015,Obama,46.3,"36,105",24.1,26.8,powerball hofinna make money shower fall hosmokin trump tower bout call honigga finna make money sho,
Jeremih,Giv No Fuks,Late Nights: The Album,2015,Obama,46.3,"36,105",24.1,26.8,ed bone head color tonka truckwake morning donald trumproom 22 hit 69started tron im henny nowbitch ,
Rick Ross,Free Enterprise,Black Market,2015,Obama,46.3,"36,105",24.1,26.8, famousor cause im rich i know pain isassassinate trump like im zimmermannow accept words came emine,
