artist,song,album,year,president,approvalrate,meanincome,povertyrate,blackmurderrate,Trump,Obama,TrumpSentiment,ObamaSentiment
Big Sean,No Favors,I Decided.,2017,Trump,38.5,"37,173",21.2,23.0,i cant government handle commandoyour man want it trumps bitchill make whole brand go yeahand tell d,,Negative,Not Mentioned
Kendrick Lamar,XXX.,DAMN.,2017,Trump,38.5,"37,173",21.2,23.0,es banksemployees bosses homicidal thoughtsdonald trumps office lost barackand promised never doubt ,,Negative,Not Mentioned
CyHi The Prynce,Looking for Love,No Dope on Sundays,2017,Trump,38.5,"37,173",21.2,23.0,,bun 9 run iron pah pah pah pahone kind want jesus obama combined girli know looking for hahahauh wan,Not Mentioned,Negative
Royce da 5'9'',Let's Take Them To War (Freestyle),The Bar Exam 4,2017,Trump,38.5,"37,173",21.2,23.0,,oswatching comments like papparazi watching sasha obama growi got elijah mohammed glowi got dough ra,Not Mentioned,Negative
CyHi The Prynce,I'm Fine,No Dope on Sundays,2017,Trump,38.5,"37,173",21.2,23.0,, money plate huhput momma new thingmy father like obama suit gameniggas wanna know much funds worthf,Not Mentioned,Negative
Chris Brown,Yoppa,Heartbreak On a Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas,2017,Trump,38.5,"37,173",21.2,23.0,,thumbin commaspresidential rollie got feelin like obama wooblew big got feelin like osamapussy rappi,Not Mentioned,Negative
Macklemore,Willy Wonka,GEMINI,2017,Trump,38.5,"37,173",21.2,23.0,, motherfuckin icon boots made pythoni met pres im obamas ipodmy front yard got kinds carslong cadi b,Not Mentioned,Negative
Juicy J,Ain't Nothing,none,2017,Trump,38.5,"37,173",21.2,23.0,,giatos classic like bitch got skateshaving dinner obama smelling like pound hayi might blow pound da,Not Mentioned,Negative
Vince Staples,BagBak,Big Fish Theory,2017,Trump,38.5,"37,173",21.2,23.0,,vincent votinwe need tamikas shaniquas oval officeobama aint enough me getting startedthe next bill ,Not Mentioned,Negative
Jidenna,Long Live the Chief,The Chief,2017,Trump,38.5,"37,173",21.2,23.0,,ddining governors daughterand father say i remind obamaim chief diplomat every dayand im black white,Not Mentioned,Positive
Gorillaz,Ascension,Humanz,2017,Trump,38.5,"37,173",21.2,23.0,,inna catch body like i got gun badgeim finna turn obama patna fore dashpull pad wipe ass flagim play,Not Mentioned,Positive
Rick Ross,Idols Become Rivals,Rather You Than Me,2017,Trump,38.5,"37,173",21.2,23.0,,tionscigars oval office ronald reaganheard barack obama whisper asalaam alaikumlive moment die stree,Not Mentioned,Negative
BROCKHAMPTON,STAR,SATURATION,2017,Trump,38.5,"37,173",21.2,23.0,,horryonly time get spotlightderay im top flightgo obama i drop micsim black tom hanksyou call nigga ,Not Mentioned,Negative
Kendrick Lamar,HUMBLE.,DAMN.,2017,Trump,38.5,"37,173",21.2,23.0,,shit way crazy ayy amaze me ayyi blew cool ac ayy obama paged me ayyi fabricate it ayy yall fakin ay,Not Mentioned,Negative
Shindy,ROLI,DREAMS,2016,Obama,51.7,"37,247",22.0,24.3,en sidechicksah bitch ich bin im tower wie donald trumpich renn die scheiße wie forrest gumpyves sai,,Negative,Not Mentioned
Nekfeu,Saturne,none,2016,Obama,51.7,"37,247",22.0,24.3,dans la mère à manuel valls dans la mère à donald trumpjai des valeurs je suis pas prêt à tout pour ,,Positive,Not Mentioned
T.I.,40 Acres,Us or Else: Letter to the System,2016,Obama,51.7,"37,247",22.0,24.3,rackers see oh againtake ass trap middle finger totrumpfuck police crooked comethey pull know legita,,Negative,Not Mentioned
Royce da 5'9'',Hard,Layers,2016,Obama,51.7,"37,247",22.0,24.3,m cause im flyest backpacker everim flyer mos def trump tower surrounded four chefsfixing slamon cro,,Positive,Not Mentioned
Dave East,Bad Boy On Death Row,Kairi Chanel,2016,Obama,51.7,"37,247",22.0,24.3,ill clinton gettin head buggin think im notdonald trump aint safe block gotcha wifey ihopyour baby m,,Positive,Not Mentioned
Ledinsky,DonaldTrumpMakesMeWannaSmokeCrack,High Society EP,2016,Obama,51.7,"37,247",22.0,24.3,criminals hereand big wall new frontierwell donaldtrumpmakesmewannasmokecrackgo canada never come ba,,Negative,Not Mentioned
Swet Shop Boys,T5,Cashmere,2016,Obama,51.7,"37,247",22.0,24.3,n her majestys londonwhere think majesty come fromtrump want exit press red buttonto watch netflix b,,Positive,Not Mentioned
Kollegah,Cold Blooded,Imperator,2016,Obama,51.7,"37,247",22.0,24.3,zu einer hälfte don juan zur andren hälfte donald trumpdie szene kann mir einn blown nur farid bang ,,Negative,Not Mentioned
G Herbo,Strictly 4 My Fans (Intro),Strictly 4 My Fans,2016,Obama,51.7,"37,247",22.0,24.3,what fred hamp president i woke praying thatcause trump become president might bring slavery backbee,,Positive,Not Mentioned
Watsky,Exquisite Corpse,x INFINITY,2016,Obama,51.7,"37,247",22.0,24.3,rosebet butler knows make us freea lauren olamina trumped worlda black magic woman still called girl,,Negative,Not Mentioned
Epic Rap Battles of History,Donald Trump vs Hillary Clinton,Epic Rap Battles of History (Season 5),2016,Obama,51.7,"37,247",22.0,24.3,g bankrupt since 90sif i iran find meyou care job trumpyou think desk shinyi said i respect children,,Negative,Not Mentioned
A Tribe Called Quest,Conrad Tokyo,We got it from Here... Thank You 4 Your service,2016,Obama,51.7,"37,247",22.0,24.3, politicians politiccnn shit gwaan yo move fuckerytrump snl hilaritytroublesome times kid times come,toleration devastation got hunger sinevery nation obama nation let coroner incrooked faces red blue ,Negative,Positive
DJ Shadow,Nobody Speak,The Mountain Will Fall,2016,Obama,51.7,"37,247",22.0,24.3,est flamethrow function funyunsflame crew quicker trump fucks youngestnow face flame fuckers fame fa,,Negative,Not Mentioned
YG,FDT (Fuck Donald Trump),Still Brazy,2016,Obama,51.7,"37,247",22.0,24.3, school cant even go school conferencefuck donald trumpfuck donald trumpyeah nigga fuck donald trump, gon crash usno cant slave himhe got appreciating obama way morehey donald everyone followsyou gave ,Negative,Positive
Isaiah Rashad,Wat's Wrong,The Sun's Tirade,2016,Obama,51.7,"37,247",22.0,24.3,e i around ever since reagan criticizedmight stay trump tower one weekspray paint walls smoke weedfu,,Negative,Not Mentioned
Gazapizm,Zanı,Bir Gün Her Şey,2016,Obama,51.7,"37,247",22.0,24.3,, hands up otobanda haze yakbir gün gelecek barack obamadan lanet yağacakve suratına kezzappsikolojim,Not Mentioned,Negative
RiFF RAFF,Fuck Em All,Balloween,2016,Obama,51.7,"37,247",22.0,24.3,,haters i stay away dramai might ball 8 years like obamai might sing hooks madonna1999 i swimming pir,Not Mentioned,Negative
Juicy J,Feeling Like Obama,Must Be Nice,2016,Obama,51.7,"37,247",22.0,24.3,,,Not Mentioned,Not Mentioned
IamSu!,Game Time,Kilt 3,2016,Obama,51.7,"37,247",22.0,24.3,,ts game timesix speed im driverel presidente suzy obamawhy acting like thug onewhy say got guns neve,Not Mentioned,Negative
Snow Tha Product,Despierta,Despierta - Single,2016,Obama,51.7,"37,247",22.0,24.3,,e se va unir aunque les recenlos latinos metieron obama en esta silla deportó más que todos los pres,Not Mentioned,Positive
Astronautalis,SIKE!,Cut The Body Loose,2016,Obama,51.7,"37,247",22.0,24.3,,rve one usstay waiting dad come save day dogvoted obama expect changeis one big party giving giftssi,Not Mentioned,Negative
Common,The Day Women Took Over,Black America Again,2016,Obama,51.7,"37,247",22.0,24.3,,get medals courageous soldierson dollars michelle obama oprah rosathe mayor shah liz dozierhoods fee,Not Mentioned,Positive
Royce da 5'9'',Pray,Layers,2016,Obama,51.7,"37,247",22.0,24.3,,e wake deathwhile i pray violence shootinisis got obama sittin vladimir putina saw child online ask ,Not Mentioned,Negative
Kool Savas,Essahdamus,Essahdamus,2016,Obama,51.7,"37,247",22.0,24.3,,nnihr macht gute miene zum bösen spiel wie barack obamaihre rapform skatporn  scheiße verkauft siche,Not Mentioned,Positive
Migos,Coppers and Robbers,3 Way EP,2016,Obama,51.7,"37,247",22.0,24.3,,nigga like im curtis snowbut move like im barrack obamai know couple i see couple robbin nigga lets ,Not Mentioned,Negative
Kid Red,Bounce,Guilty By Asscoiation,2016,Obama,51.7,"37,247",22.0,24.3,,ow im stonerpresidential smoking california smell obama aromai aint worried bout nothing got 45 hols,Not Mentioned,Negative
M.I.A.,Visa,AIM,2016,Obama,51.7,"37,247",22.0,24.3,,labola bola got friend called boomaand looks like obama burnerturtleneck bomberits bamboo bangaand k,Not Mentioned,Negative
ANOHNI,Obama,HOPELESSNESS,2016,Obama,51.7,"37,247",22.0,24.3,,ose tell truthdo recognize yellow staring back youobamaobamaobamaall hope drained facelike children ,Not Mentioned,Negative
Niska,Mustapha Jefferson,Zifukoro,2016,Obama,51.7,"37,247",22.0,24.3,, gâté le coinmustapha jefferson mustapha jeffersonobama en personne obama en personneappelle paris h,Not Mentioned,Positive
Future,Program,EVOL,2016,Obama,51.7,"37,247",22.0,24.3,,lowed bagwhats programi went shoppingwhats programobama linewhats programyou know i give damnwhats p,Not Mentioned,Negative
Chance the Rapper,Mixtape,Coloring Book,2016,Obama,51.7,"37,247",22.0,24.3,,bitch wanna know lips tastebad little mama gettin obamashe sting like bumble bee hot saunashe shine ,Not Mentioned,Negative
Drake,Summer Sixteen,Single (artist: drake),2016,Obama,51.7,"37,247",22.0,24.3,,hingall repping one thinglooking revengeto dotell obama  s like whips inthey bulletproofminus twenty,Not Mentioned,Positive
Young Thug,Constantly Hating,Barter 6,2015,Obama,46.3,"36,105",24.1,26.8,ityeah thumbs upive seen holes golf course donald trumps coursemy bitch tall blooded horse nigga bro,,Negative,Not Mentioned
Rae Sremmurd,Up Like Trump,SremmLife,2015,Obama,46.3,"36,105",24.1,26.8,,,Not Mentioned,Not Mentioned
Uncle Murda,Rap Up 2015,Rap Up Series,2015,Obama,46.3,"36,105",24.1,26.8, top spotdj self love  hip hop with cardi bdonald trump making racist remarkssalute farrakhan millio,,Positive,Not Mentioned
Uncle Murda,Rap Up 2016,Rap Up Series,2015,Obama,46.3,"36,105",24.1,26.8,ople trust youbush like black people think donald trump dodont meet donald trump talk us yeyou aint ,w long yall thought president gon black forbarack obama thingbut another puppet government stringim ,Negative,Positive
Rick Ross,She Wanna Fuck,Black Dollar,2015,Obama,46.3,"36,105",24.1,26.8, handle brunchbel air bottles like boss penthouse trumprollin dice stacks bet i hit triplei really n,,Negative,Not Mentioned
